afhenda	afhendur
afskaplega	afskaplegur
aftastur	aftari
alda	alinn
alfarið	alfarinn
algengi	algengur
alhæfa	alhæfur
alin	alinn
almennt	almennur
alsæla	alsæll
alvarlega	alvarlegur
andstæða	andstæður
annast	annt
arabíska	arabískur
atkvæði	atkvæður
augljóslega	augljóslegur
aukalega	aukalegur
austræna	austrænn
auðmýkt	auðmýktur
auðveldlega	auðveldlegur
auðvitað	auðvitaður
baráttulaust	baráttulaus
bein	beinn
beina	beinn
beint	beinn
beisklega	beisklegur
benda	bendur
bera	ber
bersögli	bersögull
betri	góður
birta	birtur
bitna	bitinn
blinda	blindur
blá	blár
blíða	blíður
bogfimi	bogfimur
bogna	boginn
bratti	brattur
breidd	breiddur
breiða	breiður
bretta	brettur
bretti	brettur
breytni	breytinn
brotna	brotinn
bráð	bráður
bráðlega	bráðlegur
bráðlyndi	bráðlyndur
bráðna	bráðinn
brókaði	brókaður
brún	brúnn
brýna	brýnn
brýni	brýnn
bylta	byltur
byrði	byrður
bókstaflega	bókstaflegur
bólgna	bólginn
búið	búinn
dauði	dauður
deild	deildur
deyfð	deyfður
dimma	dimmur
djarflega	djarflegur
djúp	djúpur
djúpt	djúpur
dofna	dofinn
dreifa	dreifur
dreifbýli	dreifbýll
drenglyndi	drenglyndur
drjúpa	drjúpur
drukkna	drukkinn
dulmál	dulmáll
dult	dulur
efni	efinn
efst	efri
efstur	efri
eftirláta	eftirlátur
eilíflega	eilíflegur
ein	einn
einfaldlega	einfaldlegur
einir	einn
einlæglega	einlæglegur
eins	einn
einslega	einslegur
elska	elskur
elstur	gamall
elta	eltur
endurgerð	endurgerður
endurheimta	endurheimtur
endursenda	endursendur
erfiða	erfiður
erfiði	erfiður
espa	espur
eðla	eðall
falda	falinn
fasta	fastur
fegra	fagur
feimni	feiminn
feimnislega	feimnislegur
feiti	feitur
fermast	fermur
festa	festur
fjarlægð	fjarlægður
fjaðurpenni	fjaður-penn
fjárfesta	fjárfestur
fljóta	fljótur
fljótlega	fljótlegur
flogaveiki	flogaveikur
flá	flár
flái	flár
flónska	flónskur
formlega	formlegur
forspá	forspár
forvitni	forvitinn
frakki	frakkur
framast	framur
framkvæmd	framkvæmdur
framsenda	framsendur
framsýni	framsýnn
frekar	frekur
frjálslega	frjálslegur
frí	frír
fullgilda	fullgildur
fullkomlega	fullkomlegur
fyrst	fyrstur
fá	fár
fágæti	fágætur
fátækt	fátækur
færa	fær
færi	fær
fúna	fúinn
fúslega	fúslegur
gagngert	gagngerður
gagnrýna	gagnrýninn
gagnrýni	gagnrýninn
gagnsæi	gagnsær
gefins	gefinn
gegndræpi	gegndræpur
gegnum	gegninn
gelda	geldur
gelt	geltur
gelta	geltur
gengi	gengur
gera	ger
gersamlega	gersamlegur
gerð	gerður
gestrisni	gestrisinn
gifta	giftur
gildi	gildur
gildra	gildur
gjafmildi	gjafmildur
gjarnan	gjarn
gleypa	gleypur
gljá	gljár
gljái	gljár
glæsilega	glæsilegur
gott	góður
greind	greindur
greinilega	greinilegur
greiða	greiður
greiði	greiður
grunsamlega	grunsamlegur
gróflega	gróflegur
gul	gulur
gula	gulur
guðdómlega	guðdómlegur
gæfa	gæfur
gætilega	gætilegur
göfga	göfgur
hafna	hafinn
haglega	haglegur
hagnýta	hagnýtur
halla	hallur
halli	hallur
haltra	haltur
hamingjusamlega	hamingjusamlegur
handlagni	handlaginn
handsama	handsamur
harkalega	harkalegur
hebreska	hebreskur
hefnd	hefndur
heiftarlega	heiftarlegur
