aa	apalhraun	Noun
aardvark	jarðsvín	Noun
aardwolf	jarðúlfur	Noun
abbess	abbadís	Noun
abbot	ábóti	Noun
abbreviate	skammstafa	Verb
abbreviation	skammstöfun	Noun
abbreviation	stytting	Noun
abessive case	fjarverufall	Noun
ability	geta	Noun
ablative case	sviftifall	Noun
able to swim	syndur	Adjective
aboard	innanborðs	Adverb
abode	vist	Noun
abomasum	vigur	Noun
abomasum	vinstur	Noun
abortion	fóstureyðing	Noun
abortion	þungunarrof	Noun
about	of	Preposition
about	um það bil	Preposition
above	að framanverðu	Adverb
above	yfir	Preposition
abrasion	níðsla	Noun
abroad	úti	Adverb
abrupt	dónalegur	Adjective
absence	aðskilnaður	Noun
absence	fjarvera	Noun
absence	fjarvist	Noun
absolute monarchy	einveldi	Noun
absolute zero	alkul	Noun
absolutely right	laukréttur	Adjective
absorb	gleypa	Verb
abstain from voting	sitja hjá	Verb
abstract	abstrakt	Adjective
abstract	abstrakt	Noun
absurd	absúrd	Adjective
abundance	gnægð	Noun
abundance	gnótt	Noun
abuse	misnotkun	Noun
abuse	misþyrming	Noun
abuse of power	valdníðsla	Noun
abyss	aðdýpi	Noun
acacia	akasía	Noun
academy	akademía	Noun
accelerator	hraðall	Noun
acceptable	tækur	Adjective
access	aðgengi	Noun
access card	aðgangskort	Noun
accessibility	aðgengismál	Noun
accessible	aðgengilegur	Adjective
accident	slys	Noun
accident	slysni	Noun
accidentally	óvart	Adverb
accompaniment	meðleikur	Noun
accompaniment	undirleikur	Noun
accompaniment	undirspil	Noun
according to	samkvæmt	Preposition
accordion	harmonikka	Noun
accordion	nikka	Noun
account	reikningur	Noun
accuracy	natni	Noun
accusation	sök	Noun
accusation	ákæra	Noun
accusative case	þolfall	Noun
accuse	klaga	Verb
accuse	kæra	Verb
accuse	saka	Verb
accuse	ákæra	Verb
ace	ás	Noun
acetic acid	ediksýra	Noun
acetylation	asetýling	Noun
achievement	árangur	Noun
acid	sýra	Noun
acidification	súrnun	Noun
acinus	þrúga	Noun
acknowledge	viðurkenna	Verb
acne	bóla	Noun
acne	unglingabóla	Noun
aconite-leaf buttercup	silfursóley	Noun
acorn	akarn	Noun
acquittal	sýknudómur	Noun
acronym	upphafsstafaheiti	Noun
act	þáttur	Noun
act of blowing	blástur	Noun
act of cheating	hax	Noun
act of darning	stoppun	Noun
act of digging	gröftur	Noun
act of drooling	slef	Noun
act of engraving	gröftur	Noun
act of pissing	miga	Noun
act of playing	spilun	Noun
act of pulling	tog	Noun
act of scratching	klór	Noun
act of stuffing	stoppun	Noun
act of walking	gangur	Noun
acting	leikur	Noun
actinide	aktiníð	Noun
actinium	aktín	Noun
action	gjörð	Noun
action plan	aðgerðaáætlun	Noun
active voice	germynd	Noun
activist	aðgerðasinni	Noun
actually	eiginlega	Adverb
acute accent	broddur	Noun
add	adda	Verb
adder's tongue	naðurtunga	Noun
addict	fíkill	Noun
addiction	fíkn	Noun
addition	samlagning	Noun
addition	viðbót	Noun
additional compensation	þokkabót	Noun
additional income	aukatekjur	Noun
address	adressa	Noun
address	heimilisfang	Noun
address	ávarp	Noun
address	ávarpa	Verb
